id,वाक्य
147,"मैले जोड दिएर यसरी ठगिएर, लुटिएर नआउन भनें तर, उसले मानेन, म असफल भएँ ।"
148,"जसलार्इ न त ती नाराले छुन्छन, न त अरू कसैको माग र आवाजले ।"
149,अब फेरि कहिल्यै गर्दैन पनि ।
150,असर र आशातीत परिणाम दिने छैन ।
151,आफ्नो सहयात्री बनाउने भन्ने विषयमा देउवालाई ठूलै सकस परेको देखिन्छ ।
152,त्यसले नेपाली कांग्रेसको छविमा पनि दाग लगाउन सक्छ ।
153,अभ्यास लगभग उन्मूलन भएको भन्दै गर्व गर्छन् ।
154,विषयगत क्षमता र निष्पक्षताले ठाउँ पाउँछ ।
155,"सही निर्णय हुँदैन, भए पनि विवाद र शंकाको घेरामा पर्छ ।"
156,अब पनि देखाउलान् ।
157,जस्तो कि अहिले लोकमानसिंह कार्कीबाट भइरहेको छ ।
158,अभाव भएर कुशासन हावी भएको स्पष्ट हुन्छ ।
159,विदेश भ्रमण भारतको सट्टा चीनबाट गर्न सक्छन् ।
160,यसबाट नेपाली अर्थतन्त्रमा थप झड्का लाग्यो ।
161,"त्यस्तै यसले नेपाललाई चीन, थाइल्यान्ड र म्यानमारसँग पनि जोड्छ जसले दक्षिण एसिया र दक्षिणपूर्वी एसियाको सम्पर्कलाई वृद्धि गर्छ ।"
162,यसले भारतलाई अझ खुल्न प्रोत्साहन गर्नेछ ।
163,सामान्यतया नेपाली प्रधानमन्त्री चीनभन्दा भारतबाट नै आफ्नो पहिलो विदेश भ्रमण सुरु गर्छन् ।
164,"तर, सडकको अवस्था डरलाग्दो गरी खराब थियो ।"
165,भूकम्पपछिको विच्छेदका कारण ठूलो परिणाममा सहयोग गर्न सकेन ।
166,युवा जनशक्ति पलायनको अर्को चुनौती पनि छ ।
167,त्यसलाई भने अन्त्य गर्नैपर्छ ।
168,१३औँ महाधिवेशनको संघारमै पुगिसक्दा कांग्रेसभित्र नीतिमाथि भन्दा नेतामाथि बहस चुलिएको छ ।
169,महाधिवेशनबाट युवाको सबल उपस्थिति होस् भन्नेमा हाम्रो विशेष जोड हुनेछ ।
170,यस्तो संकटलाई न्यूनीकरण गर्न नेपालको आग्रहमा चीनले तेल उपलब्ध गरायो ।
171,"त्यो वर्ग त्यो भाषामा कुरा गर्छ, जुन आम मानिसको भाषा होइन ।"
172,राष्ट्रविरोधी नाराहरूबाट प्रत्यक्ष रूपमा कति भारतीय प्रभावित भए भन्ने स्पष्ट छैन ।
173,यसलाई उदाहरणसहित व्याख्या गर्न सकिन्छ ।
174,"संगीतलाई छाडेर उनीहरूका सांस्कृतिक प्राथमिकता जसमा टिभीका सिरियल र सिनेमा पनि पर्छ, सबै अंग्रजीको सामग्री हुन्छन् ।"
175,हरेक वर्ष कुपोषणबाट पाँच लाख भारतीय बच्चाहरूको मृत्यु हुन्छ ।
176,"डा. केसीले प्रश्न उठाएर अनशन बस्ने कार्य राजनीतिक, प्रशासनिक र कानुनी हिसाबले पनि त्यति उचित छैन ।"
177,संविधानको मर्म र भावनाअनुरूप सबैले काम गर्नुपर्नेमा दुईमत छैन ।
178,हल्का विषयमा पनि अनशनजस्तो महाअस्त्र प्रयोग गर्दा त्यसको मूल्य र प्रभावकारिता घट्छ ।
179,डा. केसीप्रति  सम्मान सदैव रहनेछ ।
180,मुलुक नयाँ चरणमा अघि बढ्न लागेका वेला नयाँ इस्यु जन्माएमा हामीबीच रहँदै आएको सद्भाव खल्बलिने सम्भावना प्रबल हुन्छ ।
181,चित्त नबुझ्दो भए पनि महाअभियोग लगाउने कार्य जनप्रतिनिधि सहभागी हुने व्यवस्थापिका संसद्को हो ।
182,"प्रदेशको सांगठनिक संरचना पनि अहिले भएको केन्द्र, जिल्ला, क्षेत्र र एकाइ समिति जस्तै हुने हो ।"
183,६० प्रतिशत कर्मचारीको हिस्सा करमुक्त हुनेछ र यसका लागि करसम्बन्धी कानुनमा परिवर्तन गर्नुपर्छ ।
184,धेरै टाढा गएर उभिन्छौ भने तिमी पनि शत्रुजस्तै देखिन्छौ ।
185,बजार सुन्दर र सडकहरु चिल्ला छन् ।
186,जसलाई सरकारले पुरा गर्नासाथ उनीहरुलाई मुक्त गरिएको माओवादीको भनाई छ ।
187,"किनभने सबै राज्यको ढुकुटी सेनाको ब्यारेकमा थियो, हामीले त्यसलाई कब्जा गर्न सकेनौँ ।"
188,तेस्रो बजेट पनि पेस भइसक्यो ।
189,तर सामान्य जनसाधारणका लागि भने यसमा केही छैन ।
190,आज नेपाली सेनाको इन्द्रबक्स गण उनलाई अघिल्तिर पारेर बसेको छ जसका कर्नेल छन् राजु कार्की ।
191,विशेष गरी बा आमासँग भेटघाटको अवसर जुराउँथ्यो।
192,आ आफ्ना  संस्कृति झल्किने गरगहना र पोशाक लगाइ आफ्नो संस्कृति प्रतिको प्रेम दर्शाउछौं।
193,तीज हिन्दु नारीहरुको मात्र नभएर सम्पुर्ण नेपालीनारीहरुको महान पर्व वनेको छ यो खुसीको कुरा हो ।
194,चेतनाको विकाससँगै यो चलन निकै कम भएको छ ।
195,"विहे गरेर पराइघर गएका चेलीवेटीहरुलाई बाबु, दाजुभाइ वा भदैहरु उनीहरुको घरमा लिन जाने  र मिलेसम्म लिएर आउने चलन थियो ।"
196,"गीत गाउने, नाच्ने गर्थे दाजुभाइहरुले मादल वजाइदिन्थे ।"
197,"यसै गरी आजको एक्काइसौं शताब्दीमा आइपुग्दा हरेक कुरा परिवर्तन भएको छ, तीज परिवर्तन हुन किन नहुने ?"
198,"संसारमा धेरै देश, जात र धर्मका मान्छेहरु छन ।"
199,"तर सबैको पहुँच पुग्ने हिसावले सहज, सभ्य र भव्य तरीकाले मनाउनु पर्छ ।"
200,हामी यो रहस्य वुझ्न खोज्दैनौ ।
201,अमेरिकी कारबाहीका घटनाहरुप्रति विश्वले नै आँखा चिम्लिदिएको थियो ।
202,किनकी ट्रम्पको कार्यकाल त अझै सुरु पनि भएको छैन 
203,उनी संयुक्त राष्ट्रसंघका पूर्व उपमहासचिव पनि हुन् ।
204,शशी थरुरको यो लेख राससबाट लिइएको हो ।
205,अमेरिकाले माथिका तीनै मोर्चामा आफूलाई सफलसिद्ध बनाएको छ ।
206,"तर, नदेखिएका लोकमानको बारेमा कहिल्यै चर्चा भएन र होला जस्तो पनि लाग्दैन ।"
207,सडकदेखि सदन खनिएको छ ।
208,"‘नासुमै हो दाइ, बढुवा हुन सकिएन,’ भाइ चाहिा खिन्न भए झैं सुनाए ।"
209,काठमाडौंको महँगीमा जेनतेन चलेको छ दैनिकी ।
210,ल दाइ पनि ! मेरै हो नि ।
211,चार वर्षदेखि म सरकारी कर्मचारी छु ।
212,उनीहरु सानको जिन्दगी बिताइरहेका छन् ।
213,"तर, नदेखिएका लोकमानको बारेमा कसले आवाज उठाउने ?"
214,"तर, यस्ता कुरामा कसको ध्यान जाने ?"
215,दलका नेताहरूले राजनीतिमा लाग्दाको हैसियत र लागिसकेपछिको हैसियत खुलस्त गर्ने हो भने भ्रष्टाचारको जरो उखेल्न बेर लाग्दैन ।
216,बुवाको बारम्बारको यो भनाइले दाइको मन घोच्छ ।
217,तैपनि बोल्ने ठाउँ छैन ।
218,त्यो कसरी सम्भव भयो ?
219,खोज्दै जाने हो भने नदेखिएका लोकमानहरु कति छन् कति ।
220,यी दुई जनाको हैसियतमा आकाश-पातालको फरक छ ।
221,"व्यवस्थित ,सन्तुलित र समयसापेक्ष बनाउनका लागि मद्दत गर्दछ ।"
222,वकिलहरु पनि न्यायाधीश बन्नका लागि ज्यान फालेर लाग्ने गरेका प्रशस्तै उदाहरण छन् ।
223,"लक्ष्मण आर्याल, अनुपराज शर्मा देखि सुशीला कार्कीसम्मको इतिहास हेर्दा पनि थाहा हुन्छ कि वकिलबाट आएका न्यायाधीशहरु तुलनात्मकरुमा क्षमतावान् हुने गरेका छन् ।"
224,"यसको कारण विषयवस्तुमाथिको गाम्भीर्यता , मेहनती, लगनशील र बढी खट्न सक्ने विशेषता हो ।"
225,न्याय दिने कुरामा हेलचेक्र्याइँ गर्नु हुँदैन ।
226,यसले न्याय प्रणालीलाई नै ध्वस्त पार्छ ।
227,विशेष ध्यान दिनैपर्छ ।
228,"यसमा हाम्रा बाध्यता के थिए, समीक्षा हुँदै जालान् ।"
229,नेपाली सर्वसाधारण जनताद्वारा कालो झन्डाले स्वागत गरेर सुरुवात किन नगर्ने ?
230,जसलाई सरल अनि बुझिने भाषामा दलाली भनिन्छ।
231,महिलाको सिट लेखिएको अगाडिको सिटमा दुई जना पाको उमेरका र दुई जना भर्खरका ठिटी बसेका थिए ।
232,यस्तो बच्चा बोकेको महिला चढेपछि खुरुक्क सिट छोडदिनुपर्छ नि !
233,"म पहाडकी छोरी हुँ, पहाडिया भन्दा गर्व लाग्छ ।"
234,मधेसकाले आफू मधेसी भएको प्रमाण दिन्छ ।
235,"त्यही भएर मात्र हो, नत्र मलाई केही गुनासो छैन ।"
236,"जागिर खाँदा त्यो आरक्षणको जति मूल्य हुन्छ, जागिर खाइसकेपछि पनि त्यसको इज्जत गर्न सिकौं ।"
237,आफ्नो पहिचानमा इज्जत र सम्मान गरौं ।
238,पहिलो कुरा त हामी सबै नेपाली नागरिक हौं ।
239,"त्यसैगरी जनजाति, दलित, अपांगहरूले आफ्ना प्रमाण पेश गर्छन् ।"
240,समाज त आफै परिवर्तन हुन्छ र एकदिन साम्यवादमा प्राकृतिकरुपमा नै पुग्छ ।
241,कुरा के हो कमरेड ?
242,विश्वका मजदूर एक हौं भन्ने नारा हाम्रो होइन र ?
243,तपाईहरुको समग्र रातो इतिहासमा कालो मसी पोखिरेहेको छ ।
244,म दिउँसै पनि सपना देख्थेँ । 
245,यही दौरानमा हामी नेपालीहरु पनि अघि पछि दौडिरहेका छौँ ।
246,तर अन्त्यमा टिमको प्रदर्शन भने निकै निराशाजनक हुन्छ ।
247,"विश्व फुटबलमा जति बेला इंग्ल्यान्ड मैदानमा हुन्छ, त्यसको चर्चा बढी हुन्छ ।"
248,टिममा खासै नाम चलेका बलर छैनन ।
249,मुम्बईले पछिल्लो पटक उपाधि जित्दाको टिमलाई नै कायम गरेको छ ।
250,रोहित शर्मा र जेपी डुमेनीले टिमको ब्याटिङ क्रम सम्हाल्नेछन् ।
251,रकम समेत पठाउन सकिने भएकोहो ।
252,एन्ड्रोइड तथा वेबमा केहि दिनमा प्रयोगमा आउने फेसबुकले जनाएको छ ।
253,मस्त निद्रालाई ब्रेक दिएर पनि मानिसहरु स्मार्टफोनमै झुण्डिइरहेका हुन्छन् ।
